"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"21",4.20360268309004,2.54217961991224,1.9225647260268,1.60437233535776,1.41431228897597,1.29045715292142,1.20514322089435,1.14413702711462,1.09935754158961,1.0658707500105,1.04049136872067,1.02107103714652,1.00610939814471,0.994529023009812,0.985538750174055,0.978547232531106,0.973106260065245,0.968872416439908,0.965580406712102,0.963024041331195,0.961042382814727,0.959509463231584,0.958326530083513,0.957416121353623,0.956717489742232,0.956183039215751,0.955775532357765,0.955465891882421,0.955231464719106,0.95505464901399,0.954921807500877,0.954822407742729,0.954748342556058,0.954693393715399,0.954652809615212,0.954622973507543,0.954601143633082,0.954585250306365,0.954573738011591,0.954565442970687,0.954559498579123,0.954555262660585,0.954552261742059,0.954550148554591,0.954548669768974,0.954547641617951,0.954546931568126,0.95454644461088,0.95454611306281,0.954545889019179,0.954545738802369,0.954545638902312,0.954545573026342,0.954545529969136,0.954545502085111,0.954545484200558,0.9545454728446,0.954545465709673,0.954545461276061,0.954545458552765,0.954545456900232,0.954545455910191,0.954545455324978,0.95454545498393,0.954545454788128,0.954545454677478,0.954545454615986,0.954545454582415,0.95454545456443,0.954545454554985,0.954545454550131,0.954545454547693,0.954545454546497,0.954545454545927,0.954545454545662,0.954545454545542,0.95454545454549,0.954545454545469,0.95454545454546,0.954545454545456,0.954545454545455,0.954545454545455,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454,0.954545454545454
"22",4.10131972572278,2.47350964311639,1.87336625533824,1.56713995273275,1.38519311577576,1.26723973401536,1.18643476482221,1.12899372995928,1.08710139813816,1.05599134854862,1.03258989007696,1.01482670125915,1.0012585088679,0.990851382501224,0.982848522487585,0.976686559113181,0.971940611231357,0.968287058610901,0.965477602584813,0.9633207458734,0.961668288561775,0.960405304808186,0.95944259275212,0.958710919518889,0.958156593724507,0.957738035510433,0.957423106167413,0.957187022347981,0.957010723887189,0.956879595720238,0.956782467356296,0.95671083045967,0.956658228024675,0.956619778561562,0.956591806424797,0.956571555461054,0.956556967924137,0.956546514383957,0.956539063359825,0.956533781797109,0.956530059406252,0.956527451392736,0.956525635303892,0.956524378665782,0.956523514830721,0.956522925043747,0.956522525196735,0.956522256098224,0.95652207636627,0.95652195726771,0.956521878993652,0.95652182798852,0.956521795047271,0.95652177396914,0.956521760611955,0.956521752232766,0.956521747031683,0.956521743838843,0.956521741901422,0.956521740740004,0.956521740052605,0.956521739651184,0.956521739420054,0.95652173928894,0.956521739215723,0.956521739175509,0.956521739153807,0.956521739142311,0.956521739136342,0.956521739133306,0.956521739131797,0.956521739131064,0.956521739130718,0.956521739130558,0.956521739130487,0.956521739130456,0.956521739130443,0.956521739130438,0.956521739130436,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435
"23",4.00217754917056,2.40887828484764,1.82757940918583,1.53274840617644,1.35847159084486,1.24607384143581,1.16949956843859,1.11539294379452,1.07619104106768,1.04728614264324,1.02571030145807,1.00946740232244,0.997168758863993,0.987822317109241,0.980704574878835,0.975279412476706,0.971144735939761,0.967996264379111,0.965602260246583,0.9637854691936,0.962409949270893,0.961371304243626,0.96058934342299,0.960002507228686,0.959563600454441,0.959236508208274,0.958993658899793,0.958814060212976,0.958681777410849,0.958584754612883,0.958513902709534,0.958462394820337,0.95842512330712,0.958398282433494,0.958379048584269,0.958365336068153,0.958355611319082,0.958348752078633,0.95834394110593,0.958340586292531,0.958338260890705,0.958336658998699,0.958335562568468,0.958334817075647,0.958334313670553,0.958333976154185,0.958333751527893,0.958333603175748,0.958333505975675,0.958333442815488,0.958333402126145,0.958333376146926,0.958333359713889,0.958333349419899,0.958333343036668,0.958333339120217,0.958333336743752,0.958333335318362,0.958333334473746,0.958333333979602,0.958333333694343,0.958333333531968,0.958333333440899,0.958333333390612,0.958333333363297,0.958333333348717,0.958333333341075,0.958333333337148,0.958333333335171,0.958333333334198,0.95833333333373,0.95833333333351,0.95833333333341,0.958333333333365,0.958333333333346,0.958333333333338,0.958333333333335,0.958333333333334,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333
"24",3.90642508933802,2.34804437050134,1.78491921654185,1.50093038185186,1.33390666006099,1.22674321713687,1.15414293761437,1.10315844913767,1.06646619754494,1.03960886532287,1.01971890901948,1.00487099234148,0.993728822696811,0.985340812432513,0.979015824556835,0.974244328634644,0.970646492180331,0.967936896834993,0.965899888471655,0.9643719530767,0.963228872647712,0.962376219637453,0.961742237377734,0.961272459439159,0.960925617007183,0.960670512636528,0.960483626223676,0.960347279748196,0.960248230486151,0.960176593741605,0.960125019338776,0.960088063553977,0.960061711435326,0.96004301464847,0.960029817862971,0.960020552806784,0.960014083870539,0.960009592843376,0.960006493239827,0.960004366912106,0.960002917373712,0.960001935598101,0.960001275086299,0.960000833787714,0.960000541062281,0.960000348331588,0.960000222414674,0.960000140806524,0.960000088354105,0.960000054931644,0.960000033825825,0.960000020622066,0.960000012442025,0.960000007425581,0.960000004381702,0.960000002555093,0.960000001471585,0.960000000836615,0.960000000469197,0.960000000259407,0.960000000141284,0.960000000075744,0.960000000039938,0.960000000020692,0.960000000010524,0.960000000005248,0.960000000002564,0.960000000001225,0.960000000000572,0.96000000000026,0.960000000000115,0.96000000000005,0.960000000000021,0.960000000000008,0.960000000000003,0.960000000000001,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
"25",3.81419324514091,2.29076564533607,1.74512366062987,1.47144668780401,1.311285506669,1.20905846521092,1.14019528860282,1.09213739218151,1.05778835327043,1.03283357139676,1.01450106612061,1.00093323186875,0.990844247163769,0.983321757416645,0.97770615827045,0.973513887317031,0.970386843666865,0.968057962168418,0.966327147011952,0.965044070594977,0.964095657852861,0.963396851927644,0.962883729000311,0.962508325814023,0.96223473409073,0.962036142516985,0.961892593189568,0.961789279713464,0.961715257314493,0.961662466861252,0.961624998107744,0.961598535084921,0.961579939950637,0.961566941839359,0.961557905108973,0.961551657426774,0.961547362790088,0.961544428156734,0.961542435109589,0.961541090085591,0.961540188308054,0.961539587785519,0.961539190668587,0.961538929957144,0.9615387600772,0.961538650240852,0.961538579796349,0.961538534992714,0.961538506743594,0.961538489092385,0.961538478166282,0.961538471468805,0.961538467404971,0.961538464965185,0.961538463516552,0.961538462666309,0.961538462173273,0.961538461890967,0.961538461731449,0.961538461642557,0.961538461593739,0.961538461567336,0.961538461553286,0.961538461545935,0.961538461542157,0.961538461540252,0.96153846153931,0.961538461538855,0.961538461538639,0.96153846153854,0.961538461538495,0.961538461538475,0.961538461538467,0.961538461538464,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462,0.961538461538462
